characteristic,outcome,mean_yes,n_yes,mean_no,n_no,diff,pval,sig
Tax Incidence,PT Phone,44.474998,40,40.674156,89,3.8008428,.41911513,
Tax Incidence,Q1,21.35,40,23.337078,89,-1.9870787,.51589787,
Tax Incidence,Q2,19.200001,40,20.842697,89,-1.6426966,.29937214,
Tax Incidence,PT Census,57.599998,40,51.853931,89,5.7460675,.20258087,
Tax Incidence,Q3,19.825001,40,21.280899,89,-1.4558989,.26716444,
Tax Incidence,PT Chain,55.599998,40,51.842697,89,3.7573035,.42742711,
Tax Incidence,PT Informal,39.799999,40,30.134832,89,9.6651688,.073454611,*
Tax Incidence,Q4,18.674999,40,16.696629,89,1.9783708,.22852162,
Tax Incidence,Q5,20.950001,40,17.842697,89,3.1073034,.30633262,
Dev Econ,Q1,20.43421,76,26,53,-5.5657897,.043560792,**
Dev Econ,PT Phone,40.315788,76,44.056602,53,-3.7408142,.39231366,
Dev Econ,Q2,19.513159,76,21.509434,53,-1.996276,.21489424,
Dev Econ,PT Census,51.960526,76,56.037735,53,-4.0772095,.35761434,
Dev Econ,PT Chain,51.434212,76,55.264153,53,-3.8299403,.41153884,
Dev Econ,Q3,21.197369,76,20.301888,53,.89548165,.54199439,
Dev Econ,Q4,18.368422,76,15.792453,53,2.5759683,.10823061,
Dev Econ,PT Informal,31.921053,76,34.867924,53,-2.946872,.51375026,
Dev Econ,Q5,20.486841,76,16.396227,53,4.0906157,.1545178,
IO,PT Phone,49.684212,19,40.5,110,9.1842108,.15701574,
IO,Q1,27.68421,19,21.863636,110,5.8205743,.12383443,
IO,PT Census,58.947369,19,52.718182,110,6.2291865,.29173544,
IO,Q2,22.842106,19,19.9,110,2.9421053,.32537222,
IO,Q3,22.31579,19,20.572727,110,1.7430623,.50071049,
IO,PT Chain,61.526318,19,51.536366,110,9.9899521,.11765993,
IO,Q4,12.789474,19,18.09091,110,-5.3014355,.03100891,**
IO,PT Informal,39.315788,19,32.063637,110,7.2521529,.28929591,
IO,Q5,14.368421,19,19.572727,110,-5.2043061,.23893039,
Country exp,PT Phone,40.223682,76,44.188679,53,-3.9649951,.35348758,
Country exp,Q1,20.855263,76,25.396227,53,-4.5409632,.10155676,
Country exp,PT Census,50.88158,76,57.584908,53,-6.7033267,.12949824,
Country exp,Q2,19.223684,76,21.924528,53,-2.700844,.091677323,*
Country exp,PT Chain,50.407894,76,56.735847,53,-6.3279543,.17369248,
Country exp,Q3,20.763159,76,20.924528,53,-.16137041,.91501319,
Country exp,Q4,18.355263,76,15.81132,53,2.5439425,.11301402,
Country exp,PT Informal,32.421051,76,34.150944,53,-1.7298908,.69369322,
Country exp,Q5,20.802631,76,15.943397,53,4.8592353,.08345592,*
High confidence,PT Phone,42.444443,18,41.756756,111,.6876877,.93406171,
High confidence,Q1,23.777779,18,22.549549,111,1.2282282,.76757681,
High confidence,Q2,21,18,20.225225,111,.77477479,.78612763,
High confidence,PT Census,54.722221,18,53.459461,111,1.2627628,.86888647,
High confidence,Q3,23.166666,18,20.450451,111,2.7162163,.36948967,
High confidence,PT Chain,59,18,52.036037,111,6.963964,.40347904,
High confidence,Q4,15,18,17.684685,111,-2.6846848,.25143144,
High confidence,PT Informal,33.722221,18,33.036037,111,.68618619,.93879038,
High confidence,Q5,17.055555,18,19.09009,111,-2.0345345,.61704487,
Senior (Prof),PT Phone,38.272728,11,42.18644,118,-3.9137135,.63683331,
Senior (Prof),Q1,23.09091,11,22.686441,118,.40446842,.92188573,
Senior (Prof),PT Census,54.545456,11,53.550846,118,.99460709,.87925178,
Senior (Prof),Q2,21.636364,11,20.211864,118,1.4244993,.52830678,
Senior (Prof),Q3,18.727272,11,21.025423,118,-2.298151,.066944934,*
Senior (Prof),PT Chain,52.363636,11,53.067795,118,-.70416027,.91711503,
Senior (Prof),PT Informal,36.636364,11,32.805084,118,3.8312788,.66841435,
Senior (Prof),Q4,17.636364,11,17.279661,118,.35670263,.87782276,
Senior (Prof),Q5,18.90909,11,18.79661,118,.11248074,.98027855,
