competition_group,label,is_pooled,coef_pp,ci_low_pp,ci_high_pp,se_pp
High Competition,May 25,0,0,0,0,0
High Competition,Jun 25,0,-9.02845696952701,-11.65731093041468,-6.39960300863934,1.25600752430475
High Competition,Jul 25,0,-9.559665065886341,-13.24446735931002,-5.87486277246266,1.76051597957643
High Competition,Aug 25,0,-11.46935672852425,-14.55842142842835,-8.380292028620149,1.47588590460675
High Competition,Sep 25,0,-11.57154601890338,-14.86541425210204,-8.277677785704721,1.57373644429033
High Competition,Oct 25,0,-11.30921508894772,-14.44898599070458,-8.169444187190859,1.50011219180396
High Competition,Post Avg.,1,-10.56299926583367,-13.52794533142115,-7.59805320024619,1.41658480194852
Low/Mid Competition,May 25,0,0,0,0,0
Low/Mid Competition,Jun 25,0,-5.4548240772703,-7.71856663307722,-3.19108152146338,1.08156547510242
Low/Mid Competition,Jul 25,0,-6.41253575364998,-9.49279216207208,-3.33227934522788,1.47167750028218
Low/Mid Competition,Aug 25,0,-5.78049330788993,-9.489889447346551,-2.07109716843331,1.77226636819769
Low/Mid Competition,Sep 25,0,-6.76075879454899,-10.33774937973933,-3.18376820935865,1.70900596085196
Low/Mid Competition,Oct 25,0,-6.99431258104045,-10.56873336724086,-3.41989179484004,1.70777816846968
Low/Mid Competition,Post Avg.,1,-6.282640290965789,-9.377354211298689,-3.18792637063289,1.47858497555957
