high_comp,competition_group,event_time,label,coef,se,ci_low,ci_high,is_pooled,coef_pp,ci_low_pp,ci_high_pp,se_pp
1,High Competition,0,May 25,0,0,0,0,0,0,0,0,0
1,High Competition,1,Jun 25,-.0902845696952701,.0125600752430475,-.1165731093041468,-.0639960300863934,0,-9.02845696952701,-11.65731093041468,-6.39960300863934,1.25600752430475
1,High Competition,2,Jul 25,-.0955966506588634,.0176051597957643,-.1324446735931002,-.0587486277246266,0,-9.559665065886341,-13.24446735931002,-5.87486277246266,1.76051597957643
1,High Competition,3,Aug 25,-.1146935672852425,.0147588590460675,-.1455842142842835,-.0838029202862015,0,-11.46935672852425,-14.55842142842835,-8.380292028620149,1.47588590460675
1,High Competition,4,Sep 25,-.1157154601890338,.0157373644429033,-.1486541425210204,-.0827767778570472,0,-11.57154601890338,-14.86541425210204,-8.277677785704721,1.57373644429033
1,High Competition,5,Oct 25,-.1130921508894772,.0150011219180396,-.1444898599070458,-.0816944418719086,0,-11.30921508894772,-14.44898599070458,-8.169444187190859,1.50011219180396
1,High Competition,6.4,Post Avg.,-.1056299926583367,.0141658480194852,-.1352794533142115,-.0759805320024619,1,-10.56299926583367,-13.52794533142115,-7.59805320024619,1.41658480194852
0,Low/Mid Competition,0,May 25,0,0,0,0,0,0,0,0,0
0,Low/Mid Competition,1,Jun 25,-.054548240772703,.0108156547510242,-.0771856663307722,-.0319108152146338,0,-5.4548240772703,-7.71856663307722,-3.19108152146338,1.08156547510242
0,Low/Mid Competition,2,Jul 25,-.0641253575364998,.0147167750028218,-.0949279216207208,-.0333227934522788,0,-6.41253575364998,-9.49279216207208,-3.33227934522788,1.47167750028218
0,Low/Mid Competition,3,Aug 25,-.0578049330788993,.0177226636819769,-.0948988944734655,-.0207109716843331,0,-5.78049330788993,-9.489889447346551,-2.07109716843331,1.77226636819769
0,Low/Mid Competition,4,Sep 25,-.0676075879454899,.0170900596085196,-.1033774937973933,-.0318376820935865,0,-6.76075879454899,-10.33774937973933,-3.18376820935865,1.70900596085196
0,Low/Mid Competition,5,Oct 25,-.0699431258104045,.0170777816846968,-.1056873336724086,-.0341989179484004,0,-6.99431258104045,-10.56873336724086,-3.41989179484004,1.70777816846968
0,Low/Mid Competition,6.4,Post Avg.,-.0628264029096579,.0147858497555957,-.0937735421129869,-.0318792637063289,1,-6.282640290965789,-9.377354211298689,-3.18792637063289,1.47858497555957
