sheet_index,Supermarket,competition_group,high_comp,proximity_tertile,pct_price_change,twfe_effect,twfe_se,n_obs,n_items,drop_far_right_outlier,lat,lng,proximity_score,nearest_km
1,Stop and Shop (Downtown),Low/Mid Competition,0,Low,-6.164046066343265,-.0636220992214325,.0331586306196932,96,20,0,-9.477600317,147.1500773,5.688291039928252,1.145709905613022
2,Range view,High Competition,1,High,-18.08323425501159,-.1994665061282722,.0635983077019799,98,20,0,-9.439068092999999,147.1795863,17.55337306180398,.2563256812476644
3,RH Vision City,High Competition,1,High,-14.04320725268708,-.1513254258996991,.0470340581576802,100,20,0,-9.438269978999999,147.1817786,18.11158196455994,.2563256812476644
4,Eliseo Supermarket Waigani,Low/Mid Competition,0,Medium,-2.35700634800714,-.023852280835096,.0678228617817713,88,20,0,-9.4536,147.1761,15.83766517612163,.1469848925968816
5,Waterfront Foodworld (Konedobu),Low/Mid Competition,0,Low,-10.9369787046301,-.1158259624012559,.0478934022843599,100,20,0,-9.46768,147.1529,7.521125338104216,.6991993003925071
6,Stop and Shop (Rainbow),Low/Mid Competition,0,Low,-6.460367686276191,-.0667849644899967,.0191642446308283,96,20,0,-9.400512035,147.1607366,8.288109808557429,.0916123821014145
7,Boroko Foodworld,High Competition,1,High,-6.829448312460751,-.0707384832430927,.0318868675256133,100,20,0,-9.45004,147.1966,20.36589139932665,.7798753532663506
8,Tango Tokarara,Low/Mid Competition,0,Medium,-8.148162230152167,-.0849933661455449,.0383297448760102,99,20,0,-9.429320000000001,147.1727,14.3529778721375,.4810647627725727
9,1Stop Village,Low/Mid Competition,0,Medium,-6.61228984330875,-.0684104323158889,.0332421416153047,97,20,0,-9.465260000000001,147.2179,11.91992064087797,1.427911371301239
10,Stop N Shop Badili,Low/Mid Competition,0,Medium,-3.226873075148806,-.0328008446602687,.0313962777292403,97,20,0,-9.47958,147.1775,12.2950787363676,.1587095793125779
11,Meat Haus (Waigani Drive) Port Moresby,High Competition,1,High,-4.647508950827605,-.0475897289638632,.0268925346352011,28,7,0,-9.443949999999999,147.1831,19.10747858862795,.0656349993779092
12,Stop and Shop Express (airways),Low/Mid Competition,0,Medium,-8.676392267293387,-.0907608586164215,.0214263508542108,84,18,0,-9.45242,147.2177,12.3506615399774,1.091887064219044
