panel,series,quintile,estimate,ci_low,ci_high
A,Share of foregone revenue accruing to households,1,7.9883547493108,7.034895420074463,9.005269050598145
A,Share of foregone revenue accruing to households,2,8.461576859632203,7.471536159515381,9.338692665100098
A,Share of foregone revenue accruing to households,3,9.423022385412688,8.503686904907227,10.52794742584229
A,Share of foregone revenue accruing to households,4,14.82895241520671,13.13225555419922,16.61722755432129
A,Share of foregone revenue accruing to households,5,23.03435732670133,21.16960716247559,25.2380256652832
B,Consumption patterns,1,-6.583177307981202,-7.528017520904541,-5.445217132568359
B,Consumption patterns,2,-4.096456695279199,-5.070592403411865,-3.123496055603027
B,Consumption patterns,3,-2.236552260064004,-3.129580736160278,-1.309759736061096
B,Consumption patterns,4,3.189140161383022,1.826674580574036,4.380973815917969
B,Consumption patterns,5,9.727046101941383,8.304672241210938,11.3040246963501
B,Consumption patterns + Informality,1,-5.662013721363501,-7.104697704315186,-3.929366588592529
B,Consumption patterns + Informality,2,-6.417196416223073,-7.687543869018555,-5.135558605194092
B,Consumption patterns + Informality,3,-4.151824058733872,-5.418757915496826,-2.786334991455078
B,Consumption patterns + Informality,4,2.678235168636403,.8389120101928711,4.508088111877441
B,Consumption patterns + Informality,5,13.55279902768404,11.48146724700928,15.84148502349854
B,Consumption patterns + Informality + Competition,1,-7.466546858839951,-8.962491989135742,-5.871042728424072
B,Consumption patterns + Informality + Competition,2,-6.724077685749474,-8.277417182922363,-5.347913265228271
B,Consumption patterns + Informality + Competition,3,-5.215602809093886,-6.658009052276611,-3.482013463973999
B,Consumption patterns + Informality + Competition,4,3.266114996272598,.6040563583374023,6.071858406066895
B,Consumption patterns + Informality + Competition,5,16.14011235741071,13.21438217163086,19.59759330749512
