sheet_index,Supermarket,lat,lng,proximity_score,nearest_km,proximity_tertile,high_comp,competition_group
1,Stop and Shop (Downtown),-9.477600317,147.1500773,5.688291039928252,1.145709905613022,Low,0,Low/Mid Competition
2,Range view,-9.439068092999999,147.1795863,17.55337306180398,.2563256812476644,High,1,High Competition
3,RH Vision City,-9.438269978999999,147.1817786,18.11158196455994,.2563256812476644,High,1,High Competition
4,Eliseo Supermarket Waigani,-9.4536,147.1761,15.83766517612163,.1469848925968816,Medium,0,Low/Mid Competition
5,Waterfront Foodworld (Konedobu),-9.46768,147.1529,7.521125338104216,.6991993003925071,Low,0,Low/Mid Competition
6,Stop and Shop (Rainbow),-9.400512035,147.1607366,8.288109808557429,.0916123821014145,Low,0,Low/Mid Competition
7,Boroko Foodworld,-9.45004,147.1966,20.36589139932665,.7798753532663506,High,1,High Competition
8,Tango Tokarara,-9.429320000000001,147.1727,14.3529778721375,.4810647627725727,Medium,0,Low/Mid Competition
9,1Stop Village,-9.465260000000001,147.2179,11.91992064087797,1.427911371301239,Medium,0,Low/Mid Competition
10,Stop N Shop Badili,-9.47958,147.1775,12.2950787363676,.1587095793125779,Medium,0,Low/Mid Competition
11,Meat Haus (Waigani Drive) Port Moresby,-9.443949999999999,147.1831,19.10747858862795,.0656349993779092,High,1,High Competition
12,Stop and Shop Express (airways),-9.45242,147.2177,12.3506615399774,1.091887064219044,Medium,0,Low/Mid Competition
13,K Mart Supermarket,-9.48054,147.1688,9.669519877578081,.8316625007003331,Low,0,Low/Mid Competition
14,Pingan Trading,-9.470996626,147.1896059,17.35312312500284,.0290990631200687,High,1,High Competition
15,TANGO (Boroko),-9.465673448,147.1954515,18.85049856770683,.0790549555182993,High,1,High Competition
16,Kwik mart Tokarara,-9.42554,147.1789,15.43143003157335,.0917264781129904,Medium,0,Low/Mid Competition
17,Bro & Sis Supermarket,-9.424770000000001,147.1786,15.19301027802813,.0917264781129904,Medium,0,Low/Mid Competition
18,WAIGANI WHOLESALE & RETAIL,-9.42431,147.1798,15.23434935732711,.0961493230325234,Medium,0,Low/Mid Competition
19,Bhuiya Waigani,-9.423590463,147.1802861,14.99046365855672,.0961493230325234,Medium,0,Low/Mid Competition
20,Eliseo Rainbow,-9.399054551000001,147.1608881,8.165540440347538,.1089386903159474,Low,0,Low/Mid Competition
21,Papindo gerehu,-9.39074634,147.1616055,6.717689559239432,.6240095121818661,Low,0,Low/Mid Competition
22,RH Gordon's,-9.446215575,147.189994,20.77827980239999,.6187277940268798,High,1,High Competition
23,Navana Limited,-9.492844988,147.2221825,7.334962321930787,1.427526534398769,Low,0,Low/Mid Competition
24,Desh Besh Gordon’s,-9.442724762999999,147.1943867,21.81833571580483,.0381602756843813,High,1,High Competition
25,Eliseo Boroko,-9.462071513,147.1960579,18.97050650419009,.4060018236498573,High,1,High Competition
26,Stop and Shop Waigani Central,-9.45384,147.1867,18.93788810880473,.921575825355242,High,1,High Competition
27,Stop & Shop Boroko,-9.466670000000001,147.1951,18.71088829064371,.1004631083207393,High,1,High Competition
28,SVS 4 mile,-9.471910919000001,147.1865371,16.35768742878205,.3359433089738372,Medium,0,Low/Mid Competition
29,Keme trading # 3,-9.405570000000001,147.2279,4.554355778167874,1.036882342936238,Low,0,Low/Mid Competition
30,M&S Enterprise Ltd.,-9.410270000000001,147.2403,4.073639717835801,.3497778614923095,Low,0,Low/Mid Competition
31,Desh Besh Kons,-9.467302767,147.1592634,9.171291554269731,.6991993003925071,Low,0,Low/Mid Competition
32,Thomand Plaza,-9.426051978,147.1832748,15.58973177413978,.4270791733098562,Medium,0,Low/Mid Competition
33,Mountain Friend,-9.43019763,147.1677821,12.7706405635189,.0711932035521058,Medium,0,Low/Mid Competition
34,Bulk Traders,-9.44348931,147.1834741,19.22148938013992,.0656349993779092,High,1,High Competition
35,Rainbow Cash and Carry (Chinese),-9.399413974,147.1599643,8.098802770798319,.1089386903159474,Low,0,Low/Mid Competition
36,Byron's shop,-9.483227987999999,147.2135599,12.25746735687848,.1143321169796986,Medium,0,Low/Mid Competition
37,Jmart supermarket Erima,-9.437396076000001,147.2037786,16.97780673954867,.0466264599567599,Medium,0,Low/Mid Competition
38,SNS 8 mile,-9.425472255000001,147.2159157,9.000687569901013,1.878934641237086,Low,0,Low/Mid Competition
39,9 Mile Plaza,-9.413667272,147.2325878,5.189444041691099,.6468006870558678,Low,0,Low/Mid Competition
