col,term,estimate,se,N,coverage
1,Treatment,-3.053564354757,3.114879206280992,129921,All
2,Treatment,-.8864125068921215,2.622349437718391,129921,All
2,Treatment × Formal,-4.91427876657897,3.9403998736615,129921,All
3,Treatment,-.0233384638210624,3.803991160075248,43725,Urban
3,Treatment × Formal,-7.265689184099726,4.268795378286951,43725,Urban
4,Treatment,-.9795850951717545,2.507625596218392,86196,Rural
4,Treatment × Formal,-1.286873585429634,3.308733652662747,86196,Rural
5,Treatment,-1.040036244297669,2.497970099307746,129921,All
5,Treatment × Formal,-1.223666798053754,3.325159301130397,129921,All
5,Treatment × Urban,1.162628182771137,2.878913968598215,129921,All
5,Treatment × Formal × Urban,-6.668523552952464,3.910240914447546,129921,All
